ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_TIENEETNIA;ESTU_PAIS_RESIDE;ESTU_ETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_ESTABLECIMIENTO;ESTU_ESTADOINVESTIGACION;ESTU_GENERACION-E
TI;COLOMBIA;M;10/06/2001;20194;SB11201940432466;ESTUDIANTE;No;COLOMBIA;NA;CUNDINAMARCA;25;NEMOCÓN;25486;Estrato 2;5 a 6;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Es operario de máquinas o conduce vehículos (taxita, chofer);No sabe;No;Si;No;Si;No;Si;No;No;0 A 10 LIBROS;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;9001;1,25486E+11;INSTITUCION  EDUCATIVA DPTAL INTEGRADA ALFONSO LOPEZ PUMAREJO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,25486E+11;INSTITUCIÓN EDUCATIVA DPTAL  ALFONSO LÓPEZ PUMAREJO;S;URBANO;COMPLETA;25486;NEMOCÓN;25;CUNDINAMARCA;N;25899;ZIPAQUIRÁ;CUNDINAMARCA;25;54;56;3;58;73;3;42;32;2;41;37;2;26;2;A-;235;44;491.426.008.238.299;2;2;PUBLICAR;NO
TI;COLOMBIA;M;28/01/2003;20194;SB11201940357371;ESTUDIANTE;No;COLOMBIA;NA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Estrato 2;3 a 4;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Pensionado;Si;Si;Si;No;Si;No;Si;Si;0 A 10 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;138016;3,11001E+11;COL REAL DE COLOMBIA;MIXTO;NO OFICIAL;A;NA;ACADÉMICO;3,11001E+11;COL REAL DE COLOMBIA - SEDE PRINCIPAL;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTÁ;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;60;76;3;57;71;3;52;63;2;41;37;2;62;87;A2;266;65;522.042.916.279.795;3;3;PUBLICAR;NO
TI;COLOMBIA;M;1/09/2001;20194;SB11201940096771;ESTUDIANTE;No;COLOMBIA;NA;SUCRE;70;CHALÁN;70230;Estrato 1;3 a 4;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;No;No;No;Si;No;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;3 a 5 veces por semana;Igual;No leo por entretenimiento;30 minutos o menos;0;No;260836;1,7023E+11;I.E. CHALAN;MIXTO;OFICIAL;A;N;ACADÉMICO;1,7023E+11;I.E. CHALAN - SEDE PRINCIPAL;S;URBANO;MAÑANA;70230;CHALÁN;70;SUCRE;N;70001;SINCELEJO;SUCRE;70;55;59;3;46;37;2;44;39;2;43;43;2;32;8;A-;229;40;372.232.810.005.622;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;28/11/2002;20194;SB11201940025140;ESTUDIANTE;No;COLOMBIA;NA;META;50;PUERTO CONCORDIA;50450;NA;3 a 4;Tres;NA;NA;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);NA;NA;No;Si;No;No;Si;No;NA;NA;NA;NA;Igual;NA;NA;0;Si, en efectivo;77420;1,5045E+11;IE NUEVA ESPERANZA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,5045E+11;SEDE PRINCIPAL -ESPERANZA;S;URBANO;MAÑANA;50450;PUERTO CONCORDIA;50;META;N;95001;SAN JOSÉ DEL GUAVIARE;GUAVIARE;95;47;31;2;59;74;3;38;18;1;35;20;1;46;46;A-;224;36;483.446.934.974.077;2;2;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;M;8/11/1997;20194;SB11201940338067;ESTUDIANTE;Si;COLOMBIA;Emberá;CHOCO;27;BAGADÓ;27073;Sin Estrato;3 a 4;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No;No;No;No;No;No;No;No;0 A 10 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Igual;30 minutos o menos;No Navega Internet;NA;Si, en efectivo;425413;2,27073E+11;IE INDÍGENA DE PESCADITO;MIXTO;OFICIAL;A;NA;ACADÉMICO;2,27073E+11;IE INDÍGENA DE PESCADITO - SEDE PRINCIPAL;S;RURAL;MAÑANA;27073;BAGADÓ;27;CHOCO;N;27073;BAGADÓ;CHOCO;27;33;4;1;27;3;1;30;4;1;29;6;1;26;2;A-;147;1;399.901.067.808.612;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;6/04/2001;20194;SB11201940538807;ESTUDIANTE;No;COLOMBIA;NA;CAUCA;19;POPAYÁN;19001;Estrato 4;5 a 6;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Si;Si;Si;Si;Si;Si;No;No;NA;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;Mejor;No leo por entretenimiento;30 minutos o menos;0;No;169409;3,19001E+11;INSTITUTO DE ENSEÑANZA Y CAPACITACION TECNICA DEL CAUCA;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3,19001E+11;INSTITUTO DE ENSEÑANZA Y CAPACITACION TECNICA DEL CAUCA - SEDE PRINCIPAL;S;URBANO;MAÑANA;19001;POPAYÁN;19;CAUCA;N;19001;POPAYÁN;CAUCA;19;46;29;2;35;10;1;53;67;2;32;13;1;51;59;A1;211;27;504.958.189.082.973;2;2;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;F;5/01/2001;20194;SB11201940446855;ESTUDIANTE;No;COLOMBIA;NA;HUILA;41;PITALITO;41551;Estrato 1;1 a 2;Dos;Secundaria (Bachillerato) completa;No sabe;Trabaja por cuenta propia (por ejemplo plomero, electricista);No sabe;No;Si;No;No;No;No;No;No;11 A 25 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;Igual;Más de 2 horas;30 minutos o menos;0;No;60624;1,41551E+11;IE MUNICIPAL HUMBERTO MUÑOZ ORDOÑEZ;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,41551E+11;IE MUNICIPAL HUMBERTO MUÑOZ ORDOÑEZ - SEDE PRINCIPAL;S;URBANO;TARDE;41551;PITALITO;41;HUILA;N;41551;PITALITO;HUILA;41;52;49;3;52;53;3;53;68;2;53;70;2;43;38;A-;259;61;406.203.245.185.415;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;31/05/2002;20194;SB11201940066496;ESTUDIANTE;No;COLOMBIA;NA;CALDAS;17;AGUADAS;17013;Estrato 1;3 a 4;Tres;Primaria incompleta;Secundaria (Bachillerato) incompleta;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Si;Si;No;No;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;666537;1,17013E+11;INSTITUCION EDUCATIVA MARINO GOMEZ ESTRADA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,17013E+11;INSTITUCION EDUCATIVA MARINO GOMEZ ESTRADA - SEDE PRINCIPAL;S;URBANO;UNICA;17013;AGUADAS;17;CALDAS;N;17013;AGUADAS;CALDAS;17;65;89;3;61;81;3;64;93;3;71;98;4;64;89;A2;326;93;444.308.217.388.334;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;11/03/2002;20194;SB11201940168531;ESTUDIANTE;No;COLOMBIA;NA;SUCRE;70;COROZAL;70215;Estrato 1;7 a 8;Tres;Primaria incompleta;Primaria incompleta;Es vendedor o trabaja en atención al público;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;No;Si;No;Si;Si;No;Si;No;0 A 10 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Igual;30 minutos o menos;30 minutos o menos;0;No;15511;1,70215E+11;I.E. LICEO CARMELO PERCY VERGARA;MIXTO;OFICIAL;A;N;ACADÉMICO;1,70215E+11;INST EDUC LICEO CARMELO PERCY VERGARA;S;URBANO;MAÑANA;70215;COROZAL;70;SUCRE;N;70215;COROZAL;SUCRE;70;45;26;2;38;15;2;29;3;1;37;25;1;37;19;A-;186;13;414.695.748.538.377;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;29/06/2002;20194;SB11201940506799;ESTUDIANTE;No;COLOMBIA;NA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Estrato 2;9 o más;Tres;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Es operario de máquinas o conduce vehículos (taxita, chofer);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;Si;Si;Si;Si;Si;Si;Si;11 A 25 LIBROS;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Igual;30 minutos o menos;Entre 1 y 3 horas;Menos de 10 horas;Si, en efectivo;213199;1,11001E+11;COLEGIO INSTITUTO TECNICO  JUAN DEL CORRAL (IED);MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,11001E+11;INST TEC DIST JUAN DEL CORRAL;S;URBANO;UNICA;11001;BOGOTÁ D.C.;11;BOGOTÁ;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;50;42;2;48;41;2;49;55;2;49;60;2;53;64;A1;247;52;599.415.102.519.777;3;3;PUBLICAR;NO
TI;COLOMBIA;M;22/04/2002;20194;SB11201940236236;ESTUDIANTE;No;COLOMBIA;NA;TOLIMA;73;IBAGUÉ;73001;Estrato 2;5 a 6;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Si;Si;No;Si;No;No;Si;Si;0 A 10 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Mejor;30 minutos o menos;Entre 1 y 3 horas;Entre 21 y 30 horas;Si, en efectivo;126326;1,73001E+11;INST EDUC SAN PEDRO ALEJANDRINO;MIXTO;OFICIAL;A;NA;ACADÉMICO;1,73001E+11;SEDE 1 SAN PEDRO ALEJANDRINO;S;URBANO;MAÑANA;73001;IBAGUÉ;73;TOLIMA;N;73001;IBAGUÉ;TOLIMA;73;49;37;2;49;43;2;51;61;2;45;50;2;52;61;A1;244;50;455.199.441.956.774;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;25/12/2002;20194;SB11201940152939;ESTUDIANTE;No;COLOMBIA;NA;ANTIOQUIA;5;ITAGÜÍ;5360;Estrato 3;3 a 4;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Es operario de máquinas o conduce vehículos (taxita, chofer);Es vendedor o trabaja en atención al público;Si;Si;Si;Si;Si;No;No;No;11 A 25 LIBROS;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Peor;30 minutos o menos;Más de 3 horas;0;No;116970;1,0536E+11;INSTITUCIÓN EDUCATIVA ORESTE SINDICI;MIXTO;OFICIAL;A;N;ACADÉMICO;1,0536E+11;INSTITUCIÓN EDUCATIVA ORESTE SINDICI;S;URBANO;MAÑANA;5360;ITAGÜÍ;5;ANTIOQUIA;N;5360;ITAGÜÍ;ANTIOQUIA;5;59;74;3;53;58;3;47;47;2;50;63;2;55;72;A1;262;63;580.194.744.718.288;3;3;PUBLICAR;NO
TI;COLOMBIA;F;15/08/2003;20194;SB11201940397961;ESTUDIANTE;No;COLOMBIA;NA;META;50;ACACÍAS;50006;Estrato 2;5 a 6;Dos;No sabe;Secundaria (Bachillerato) completa;No sabe;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Si;Si;Si;Si;No;No;No;No;26 A 100 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Peor;Entre 1 y 2 horas;Entre 30 y 60 minutos;Entre 11 y 20 horas;No;121871;1,50006E+11;IE VEINTE DE JULIO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,50006E+11;SEDE PRINCIPAL -VEINTE DE JULIO;S;URBANO;TARDE;50006;ACACÍAS;50;META;N;50006;ACACÍAS;META;50;60;76;3;63;85;3;54;69;2;46;53;2;56;74;A1;279;73;497.704.384.645.689;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;2/09/1998;20194;SB11201940012015;ESTUDIANTE;No;COLOMBIA;NA;CAUCA;19;BOLÍVAR;19100;Estrato 1;5 a 6;Dos;Primaria completa;Primaria incompleta;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;No;No;No;No;No;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Mejor;Entre 30 y 60 minutos;30 minutos o menos;Menos de 10 horas;Si, en efectivo;164657;2,191E+11;INST EDUC EL CARMEN;MIXTO;OFICIAL;A;NA;TÉCNICO;2,191E+11;EL CARMEN (sede principal);S;RURAL;COMPLETA;19100;BOLÍVAR;19;CAUCA;N;19100;BOLÍVAR;CAUCA;19;43;21;2;40;21;2;41;27;2;33;16;1;26;2;A-;191;15;386.707.899.193.677;1;1;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;M;12/09/1999;20194;SB11201940219638;ESTUDIANTE;Si;COLOMBIA;Comunidad afrodescendiente;CAUCA;19;PUERTO TEJADA;19573;Estrato 1;3 a 4;Uno;Secundaria (Bachillerato) completa;Primaria completa;Es vendedor o trabaja en atención al público;Trabaja en el hogar, no trabaja o estudia;No;No;No;No;No;No;Si;No;26 A 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Igual;Entre 30 y 60 minutos;30 minutos o menos;Menos de 10 horas;No;115907;1,19573E+11;I.E. POLITECNICO LA MILAGROSA;MIXTO;OFICIAL;A;N;TÉCNICO;1,19573E+11;LA MILAGROSA (sede principal);S;URBANO;TARDE;19573;PUERTO TEJADA;19;CAUCA;N;19573;PUERTO TEJADA;CAUCA;19;40;15;2;40;20;2;39;21;1;33;15;1;33;11;A-;188;14;415.935.166.352.035;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;29/11/2002;20194;SB11201940584691;ESTUDIANTE;No;COLOMBIA;NA;SANTANDER;68;SAN GIL;68679;Estrato 3;5 a 6;Cinco;Educación profesional completa;Educación profesional completa;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;Si;Si;Si;No;Si;No;No;26 A 100 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Igual;Entre 30 y 60 minutos;Más de 3 horas;Menos de 10 horas;Si, en efectivo;727214;1,68679E+11;COLEGIO TECNICO NUESTRA SEÑORA DE LA PRESENTACION;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,68679E+11;COLEGIO TECNICO NUESTRA SEÑORA DE LA PRESENTACION;S;URBANO;UNICA;68679;SAN GIL;68;SANTANDER;N;68679;SAN GIL;SANTANDER;68;63;85;3;64;87;3;56;75;3;55;76;2;62;87;A2;298;83;617.581.248.281.582;3;3;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;6/11/2002;20194;SB11201940536056;ESTUDIANTE;No;COLOMBIA;NA;CORDOBA;23;LORICA;23417;Estrato 2;3 a 4;Dos;Primaria completa;Primaria completa;No aplica;Trabaja en el hogar, no trabaja o estudia;No;Si;No;No;No;No;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Peor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;392803;2,23417E+11;CE ANTONIO SANCHEZ GUTIERREZ;MIXTO;OFICIAL;A;NA;NO APLICA;2,23417E+11;ANTONIO SANCHEZ GUTIERREZ;S;RURAL;MAÑANA;23417;LORICA;23;CORDOBA;N;23417;LORICA;CORDOBA;23;48;35;2;45;32;2;35;12;1;24;2;1;46;44;A-;193;16;390.492.959.392.628;1;1;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;19/02/2001;20194;SB11201940487744;ESTUDIANTE;No;COLOMBIA;NA;ANTIOQUIA;5;MEDELLÍN;5001;Estrato 1;5 a 6;Tres;Primaria incompleta;Primaria incompleta;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;No;No;Si;Si;No;No;No;NA;1 o 2 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Igual;No leo por entretenimiento;30 minutos o menos;0;No;638;3,05001E+11;COL NUEVO CERVANTES CONOCER;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3,05001E+11;COL NUEVO CERVANTES CONOCER;S;URBANO;SABATINA;5001;MEDELLÍN;5;ANTIOQUIA;N;5001;MEDELLÍN;ANTIOQUIA;5;47;32;2;40;21;2;35;11;1;32;14;1;44;38;A-;195;17;474.548.627.184.943;2;2;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;M;23/12/1998;20194;SB11201940418945;ESTUDIANTE;Si;COLOMBIA;Otro grupo étnico minoritario;VAUPES;97;MITÚ;97001;Sin Estrato;9 o más;Cuatro;Primaria incompleta;Primaria incompleta;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;No;No;Si;No;No;No;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Igual;Entre 30 y 60 minutos;No Navega Internet;Más de 30 horas;Si, en efectivo;50393;1,97001E+11;I.E.D. INAYÁ;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,97001E+11;COLEGIO COMERCIAL NOCTURNO;N;URBANO;NOCHE;97001;MITÚ;97;VAUPES;N;97001;MITÚ;VAUPES;97;37;9;2;23;1;1;27;2;1;27;4;1;27;2;A-;142;1;348.708.442.299.208;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;3/01/2002;20194;SB11201940450362;ESTUDIANTE;Si;COLOMBIA;Comunidad afrodescendiente;ANTIOQUIA;5;TURBO;5837;Sin Estrato;9 o más;Cuatro;Ninguno;Secundaria (Bachillerato) incompleta;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;No;No;No;Si;No;No;No;No;26 A 100 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Mejor;30 minutos o menos;No Navega Internet;Menos de 10 horas;Si, en efectivo;660613;4,05837E+11;C.E. BOCAS DEL ATRATO;MIXTO;OFICIAL;A;NA;NA;4,05837E+11;C.E. BOCAS DEL ATRATO;S;RURAL;MAÑANA;5837;TURBO;5;ANTIOQUIA;N;5837;TURBO;ANTIOQUIA;5;38;10;2;38;15;2;30;4;1;30;8;1;31;8;A-;169;6;342.475.543.366.691;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;25/07/2001;20194;SB11201940017856;ESTUDIANTE;No;COLOMBIA;NA;ANTIOQUIA;5;COPACABANA;5212;Estrato 3;3 a 4;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;No aplica;Es vendedor o trabaja en atención al público;Si;Si;Si;Si;Si;No;No;Si;NA;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Mejor;Entre 30 y 60 minutos;Más de 3 horas;0;No;131235;3,05088E+11;INST CORFERRINI;MIXTO;NO OFICIAL;A;NA;ACADÉMICO;3,05088E+11;INST CORFERRINI;S;URBANO;SABATINA;5088;BELLO;5;ANTIOQUIA;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;55;60;3;51;51;3;45;42;2;58;82;3;59;82;A2;264;64;588.880.557.142.727;3;3;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;20/11/2001;20194;SB11201940052678;ESTUDIANTE;Si;COLOMBIA;Comunidad afrodescendiente;RISARALDA;66;PUEBLO RICO;66572;Estrato 1;5 a 6;Tres;Primaria incompleta;Ninguno;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;No;Si;No;No;Si;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;3 a 5 veces por semana;Nunca o rara vez comemos eso;Igual;Entre 30 y 60 minutos;No Navega Internet;Menos de 10 horas;Si, en efectivo;691592;2,66572E+11;I.E. INTERCULTURAL DOKABU;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;2,66572E+11;I.E. INTERCULTURAL DOKABU - SEDE PRINCIPAL;S;RURAL;MAÑANA;66572;PUEBLO RICO;66;RISARALDA;N;66001;PEREIRA;RISARALDA;66;52;47;3;57;69;3;55;75;2;54;72;2;52;62;A1;272;69;328.900.986.987.912;1;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;1/12/2002;20194;SB11201940275671;ESTUDIANTE;No;COLOMBIA;NA;CESAR;20;LA PAZ;20621;Estrato 1;5 a 6;Tres;Primaria incompleta;Secundaria (Bachillerato) incompleta;Es agricultor, pesquero o jornalero;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;No;Si;No;Si;No;Si;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Igual;Entre 1 y 2 horas;Entre 30 y 60 minutos;0;No;231043;1,20443E+11;I.E. NORMAL SUPERIOR MARIA INMACULADA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,20443E+11;I.E. NORMAL SUPERIOR MARIA INMACULADA;S;URBANO;UNICA;20443;MANAURE BALCÓN DEL CESAR;20;CESAR;N;20621;LA PAZ;CESAR;20;48;33;2;53;57;3;44;37;2;46;53;2;50;57;A1;240;47;426.372.054.148.896;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;31/10/2001;20194;SB11201940490378;ESTUDIANTE;No;COLOMBIA;NA;ATLANTICO;8;SOLEDAD;8758;Estrato 1;1 a 2;Uno;Educación profesional incompleta;Técnica o tecnológica completa;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;No;No;Si;No;No;Si;Si;0 A 10 LIBROS;NA;1 o 2 veces por semana;3 a 5 veces por semana;Igual;No leo por entretenimiento;Más de 3 horas;Menos de 10 horas;Si, en efectivo;706101;3,08759E+11;INSTITUTO PARA LA CAPACITACIÓN SIMÓN RODRÍGUEZ;MIXTO;NO OFICIAL;A;NA;NA;3,08759E+11;INSTITUTO PARA LA CAPACITACIÓN SIMÓN RODRÍGUEZ - SEDE PRINCIPAL;S;URBANO;NOCHE;8758;SOLEDAD;8;ATLANTICO;N;8758;SOLEDAD;ATLANTICO;8;46;29;2;54;60;3;42;31;2;32;12;1;44;40;A-;218;32;517.567.137.435.023;3;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;9/08/2002;20194;SB11201940088902;ESTUDIANTE;No;COLOMBIA;NA;CUNDINAMARCA;25;CHÍA;25175;Estrato 2;3 a 4;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Si;Si;Si;Si;Si;No;No;Si;0 A 10 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;Entre 11 y 20 horas;Si, en efectivo;8342;1,25175E+11;I.E. DIVERSIFICADO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,25175E+11;I.E. DIVERSIFICADO - SEDE PRINCIPAL;S;URBANO;MAÑANA;25175;CHÍA;25;CUNDINAMARCA;N;25175;CHÍA;CUNDINAMARCA;25;44;25;2;46;35;2;49;54;2;25;2;1;43;37;A-;206;24;492.015.297.701.048;2;3;PUBLICAR;GENERACION E - GRATUIDAD
